70.252.139.33 - - [12/Aug/2013:08:16:44 -0700] "GET /version2/js/jquery-1.10.1.min.js HTTP/1.1" 200 33357 "http://www.lifelinepregnancyhelp.org/version2/" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0; yie9)" "www.lifelinepregnancyhelp.org"
70.252.139.33 - - [12/Aug/2013:08:17:34 -0700] "GET /version2/stories.php HTTP/1.1" 200 2548 "http://www.lifelinepregnancyhelp.org/version2/services.php" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0; yie9)" "www.lifelinepregnancyhelp.org"
70.252.139.33 - - [12/Aug/2013:08:18:20 -0700] "GET /version2/img/services/community.jpg HTTP/1.1" 200 51684 "http://www.lifelinepregnancyhelp.org/version2/services.php" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0; yie9)" "www.lifelinepregnancyhelp.org"
70.252.139.33 - - [12/Aug/2013:08:18:29 -0700] "GET /version2/img/services/peer_counseling.jpg HTTP/1.1" 200 47817 "http://www.lifelinepregnancyhelp.org/version2/services.php" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0; yie9)" "www.lifelinepregnancyhelp.org"
70.252.139.33 - - [12/Aug/2013:08:24:15 -0700] "GET /version2/about.php HTTP/1.1" 200 2010 "http://www.lifelinepregnancyhelp.org/version2/index.php" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0; yie9)" "www.lifelinepregnancyhelp.org"
70.252.139.33 - - [12/Aug/2013:08:25:22 -0700] "GET /version2/index.php HTTP/1.1" 200 1732 "http://www.lifelinepregnancyhelp.org/version2/about.php" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0; yie9)" "www.lifelinepregnancyhelp.org"
46.119.118.152 - - [12/Aug/2013:08:38:35 -0700] "GET / HTTP/1.1" 200 4482 "http://master-muznachas.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows XP)" "lifelineprc.com"
157.55.35.89 - - [12/Aug/2013:08:47:44 -0700] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "lifelineprc.com"
46.118.126.194 - - [12/Aug/2013:09:09:17 -0700] "GET / HTTP/1.1" 200 4482 "http://atkinx.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows XP)" "lifelineprc.com"
46.118.126.194 - - [12/Aug/2013:09:09:18 -0700] "GET / HTTP/1.1" 200 4482 "http://azbuka-sro.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows XP)" "lifelineprc.com"
46.118.126.194 - - [12/Aug/2013:09:09:19 -0700] "GET / HTTP/1.1" 200 4482 "http://azbuka-sro.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows XP)" "lifelineprc.com"
70.252.139.33 - - [12/Aug/2013:09:21:33 -0700] "GET / HTTP/1.1" 200 2476 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)" "www.lifelinepregnancyhelp.org"
70.252.139.33 - - [12/Aug/2013:09:21:33 -0700] "GET /style.css HTTP/1.1" 200 5261 "http://www.lifelinepregnancyhelp.org/" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)" "www.lifelinepregnancyhelp.org"
70.252.139.33 - - [12/Aug/2013:09:21:33 -0700] "GET /assets/images/homePage.jpg HTTP/1.1" 200 23096 "http://www.lifelinepregnancyhelp.org/" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)" "www.lifelinepregnancyhelp.org"
70.252.139.33 - - [12/Aug/2013:09:21:34 -0700] "GET /assets/bodyBG.jpg HTTP/1.1" 200 11603 "http://www.lifelinepregnancyhelp.org/" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)" "www.lifelinepregnancyhelp.org"
70.252.139.33 - - [12/Aug/2013:09:21:36 -0700] "GET /purefreedom.html HTTP/1.1" 200 2270 "http://www.lifelinepregnancyhelp.org/" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)" "www.lifelinepregnancyhelp.org"
70.252.139.33 - - [12/Aug/2013:09:21:36 -0700] "GET /assets/images/purefreedom.jpg HTTP/1.1" 200 16761 "http://www.lifelinepregnancyhelp.org/purefreedom.html" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)" "www.lifelinepregnancyhelp.org"
70.252.139.33 - - [12/Aug/2013:09:28:41 -0700] "GET / HTTP/1.1" 200 2475 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; GTB7.5; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; InfoPath.1; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)" "lifelineprc.com"
70.252.139.33 - - [12/Aug/2013:09:28:41 -0700] "GET /style.css HTTP/1.1" 200 1636 "http://lifelineprc.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; GTB7.5; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; InfoPath.1; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)" "lifelineprc.com"
70.252.139.33 - - [12/Aug/2013:09:28:41 -0700] "GET /assets/images/homePage.jpg HTTP/1.1" 200 23096 "http://lifelineprc.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; GTB7.5; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; InfoPath.1; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)" "lifelineprc.com"
70.252.139.33 - - [12/Aug/2013:09:28:41 -0700] "GET /assets/psd/LeftNavLayoutPieces/top.jpg HTTP/1.1" 200 43470 "http://lifelineprc.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; GTB7.5; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; InfoPath.1; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)" "lifelineprc.com"
70.252.139.33 - - [12/Aug/2013:09:28:41 -0700] "GET /assets/psd/LeftNavLayoutPieces/bgcolor.jpg HTTP/1.1" 200 4012 "http://lifelineprc.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; GTB7.5; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; InfoPath.1; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)" "lifelineprc.com"
70.252.139.33 - - [12/Aug/2013:09:28:42 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; GTB7.5; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; InfoPath.1; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)" "lifelineprc.com"
70.252.139.33 - - [12/Aug/2013:09:29:25 -0700] "GET / HTTP/1.1" 200 2477 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; GTB7.5; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; InfoPath.1; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)" "lifelinepregnancyhelp.org"
70.252.139.33 - - [12/Aug/2013:09:29:59 -0700] "GET /version2/ HTTP/1.1" 200 1732 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; GTB7.5; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; InfoPath.1; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)" "lifelinepregnancyhelp.org"
70.252.139.33 - - [12/Aug/2013:09:29:59 -0700] "GET /version2/css/general.css HTTP/1.1" 200 1235 "http://lifelinepregnancyhelp.org/version2/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; GTB7.5; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; InfoPath.1; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)" "lifelinepregnancyhelp.org"
70.252.139.33 - - [12/Aug/2013:09:29:59 -0700] "GET /version2/js/responsiveslides.min.js HTTP/1.1" 200 1967 "http://lifelinepregnancyhelp.org/version2/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; GTB7.5; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; InfoPath.1; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)" "lifelinepregnancyhelp.org"
70.252.139.33 - - [12/Aug/2013:09:29:59 -0700] "GET /version2/js/form-manager.jquery.js HTTP/1.1" 200 1375 "http://lifelinepregnancyhelp.org/version2/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; GTB7.5; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; InfoPath.1; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)" "lifelinepregnancyhelp.org"
70.252.139.33 - - [12/Aug/2013:09:29:59 -0700] "GET /version2/js/jquery-1.10.1.min.js HTTP/1.1" 200 33357 "http://lifelinepregnancyhelp.org/version2/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; GTB7.5; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; InfoPath.1; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)" "lifelinepregnancyhelp.org"
70.252.139.33 - - [12/Aug/2013:09:30:00 -0700] "GET /version2/img/slider/logo.jpg HTTP/1.1" 200 490803 "http://lifelinepregnancyhelp.org/version2/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; GTB7.5; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; InfoPath.1; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)" "lifelinepregnancyhelp.org"
